Supersection,Assessment.Area,Associated.Species,Site.Class,Board.Feet,Basal.Area.(Square.Feet.per.Acre),Common.Practice.-.Above.Ground.Carbon.Mean.(Metric.Tonnes.CO2-equivalent),Species.Diversity.Index,Fire.Risk.Rating,Rotation.Length,Value.of.Harvest
Aroostook-Maine-New Brunswick Hills and Lowlands,Aroostook-Maine-New Brunswick Hills and Lowlands Conifer Bog,"Black spruce, white cedar, tamarack",All,2877.69995117188,119.319999694824,56.22439888000481,0.8,0.04,Long,Low
Aroostook-Maine-New Brunswick Hills and Lowlands,Aroostook-Maine-New Brunswick Hills and Lowlands Lowland Hardwoods,"Balsam poplar, black ash, American elm, red maple, birch, sycamore, cherry, white ash, yellow poplar, basswood,  sugar maple",All,900.280029296875,49.5699996948242,28.29570013999938,0.7,0.04,Long,Medium
Aroostook-Maine-New Brunswick Hills and Lowlands,Aroostook-Maine-New Brunswick Hills and Lowlands Northern Hardwoods,"Black cherry, white ash, yellow poplar, basswood, birch, red maple, sugar maple, beech",High,2229.88989257813,92.3000030517578,59.6742008399962,0.65,0.04,Long,Medium
Aroostook-Maine-New Brunswick Hills and Lowlands,Aroostook-Maine-New Brunswick Hills and Lowlands Northern Hardwoods,"Black cherry, white ash, yellow poplar, basswood, birch, red maple, sugar maple, beech",Low,1810.81005859375,84.6399993896484,58.42640027999861,0.65,0.04,Long,Medium
Aroostook-Maine-New Brunswick Hills and Lowlands,Aroostook-Maine-New Brunswick Hills and Lowlands Pine Forests,"Eastern white pine, eastern hemlock, red pine",All,5528.4501953125,141.380004882813,88.00659832000721,0.65,0.04,Long,Low
Aroostook-Maine-New Brunswick Hills and Lowlands,Aroostook-Maine-New Brunswick Hills and Lowlands Poplar/Birch,"Aspen, gray birch, paper birch",All,1614.40002441406,79.5999984741211,45.54469944000241,0.75,0.04,Long,Very Low
Aroostook-Maine-New Brunswick Hills and Lowlands,Aroostook-Maine-New Brunswick Hills and Lowlands Spruce-Fir,"Balsam fir, eastern hemlock, Norway spruce, red spruce, white spruce",High,3347.81005859375,112.120002746582,60.26140027999861,0.7,0.04,Long,Very Low
Aroostook-Maine-New Brunswick Hills and Lowlands,Aroostook-Maine-New Brunswick Hills and Lowlands Spruce-Fir,"Balsam fir, eastern hemlock, Norway spruce, red spruce, white spruce",Low,2830,99.5500030517578,52.7746004199981,0.7,0.04,Long,Very Low
Atlantic Coastal Plain & Flatwoods,Atlantic Coastal Plain Loblolly-Shortleaf-Oak,"Eastern red cedar, loblolly pine, oak, shortleaf pine, southern scrub oak, Virginia pine, white pine, red pine, jack pine",High,5615.0498046875,104.680000305176,75.01060204449368,0.7,0.04,Short,Medium
Atlantic Coastal Plain & Flatwoods,Atlantic Coastal Plain Loblolly-Shortleaf-Oak,"Eastern red cedar, loblolly pine, oak, shortleaf pine, southern scrub oak, Virginia pine, white pine, red pine, jack pine",Low,2993.39990234375,74.2900009155273,45.57900928614273,0.7,0.04,Short,Medium
Atlantic Coastal Plain & Flatwoods,Atlantic Coastal Plain Longleaf-Slash Pine,"Longleaf pine, oak, palms, sand pine, slash pine, spruce pine, tropical hardwoods",High,3291.46997070313,77.1800003051758,56.86555872838974,0.7,0.04,Medium,Low
Atlantic Coastal Plain & Flatwoods,Atlantic Coastal Plain Longleaf-Slash Pine,"Longleaf pine, oak, palms, sand pine, slash pine, spruce pine, tropical hardwoods",Low,2819.14990234375,67.8300018310547,45.445834801948024,0.7,0.04,Medium,Low
Atlantic Coastal Plain & Flatwoods,Atlantic Coastal Plain Oak-Hickory,"Chestnut oak, black oak, scarlet oak, hickory, post oak, blackjack oak, white oak, red oak",High,5460.580078125,80.1999969482422,77.74068055805198,0.65,0.04,Long,Medium
Atlantic Coastal Plain & Flatwoods,Atlantic Coastal Plain Oak-Hickory,"Chestnut oak, black oak, scarlet oak, hickory, post oak, blackjack oak, white oak, red oak",Low,3058.3701171875,72.4300003051758,59.62893165677913,0.65,0.04,Long,Medium
Atlantic Coastal Plain & Flatwoods,Atlantic Coastal Plain Riverine Hardwood,"Cottonwood, willow, elm, ash, red maple, oak, river birch, sycamore, sweetgum, nuttail oak, willow oak",High,6770.81005859375,100.050003051758,87.86194770711657,0.7,0.04,Long,Very Low
Atlantic Coastal Plain & Flatwoods,Atlantic Coastal Plain Riverine Hardwood,"Cottonwood, willow, elm, ash, red maple, oak, river birch, sycamore, sweetgum, nuttail oak, willow oak",Low,5507.56005859375,98.5899963378906,81.00345700838974,0.7,0.04,Long,Very Low
Atlantic Coastal Plain & Flatwoods,Atlantic Coastal Plain Swamp Hardwood & Cypress,"Atlantic white-cedar, bald cypress, pond cypress, water tupelo, oak, gum, overcup oak, water hickory, pond pine, red maple, swamp chestnut oak, cherrybark oak, sweetbay, swamp tupelo",Low,4720.330078125,107.930000305176,76.67528468449369,0.65,0.04,Long,Low
Atlantic Coastal Plain & Flatwoods,Atlantic Coastal Plain Swamp Hardwood & Cypress,"Atlantic white-cedar, bald cypress, pond cypress, water tupelo, oak, gum, overcup oak, water hickory, pond pine, red maple, swamp chestnut oak, cherrybark oak, sweetbay, swamp tupelo",High,7333.08984375,122.849998474121,98.28286458966257,0.65,0.04,Long,Low
Atlantic Coastal Plain & Flatwoods,Atlantic Coastal Plain Upland Hardwood,"Sassafras , persimmon, sugarberry, hackberry, elm, green ash, sweetgum, yellow poplar, sycamore, pecan, American elm, white oak, northern red oak",High,3999.60009765625,71.1699981689453,56.93214755805197,0.65,0.04,Long,Low
Atlantic Coastal Plain & Flatwoods,Atlantic Coastal Plain Upland Hardwood,"Sassafras , persimmon, sugarberry, hackberry, elm, green ash, sweetgum, yellow poplar, sycamore, pecan, American elm, white oak, northern red oak",Low,1882.90002441406,61.810001373291,43.215159810337425,0.65,0.04,Long,Low
Bitterroot Mountains,Bitterroot Fir / Spruce / Hemlock,"Aspen, gray birch, paper birch, Engelmann spruce, subalpine fir, grand fir, intermountain maple, mountain hemlock, red alder, western hemlock, western red cedar, western white pine",All,11199.26953125,99.4499969482422,68.21869382516888,0.65,0.04,Long,Low
Bitterroot Mountains,Bitterroot Mixed Conifer,"Cottonwood, Douglas fir, ponderosa pine, western larch",All,6934.97021484375,67.4499969482422,47.5766297241947,0.85,0.04,Long,Low
Bitterroot Mountains,Bitterroot Subalpine Mixed Conifer,"Lodgepole pine, subalpine fir, whitebark pine",All,5244.43994140625,88.0400009155273,40.81801909483112,0.8,0.04,Long,Very Low
Blue Mountains,Blue Mountain High Elevation Conifer,"Aspen, Engelmann spruce, subalpine fir, spruce, mountain hemlock, lodgepole pine, subalpine fir, western larch, white fir, whitebark pine",All,5670.85986328125,59.3400001525879,49.54095574741555,0.7,0.04,Long,Very Low
Blue Mountains,Blue Mountain Juniper / Pinyon Woodland,"Cercocarpus (mountain brush), juniper, pinyon/juniper, western juniper",All,805.04998779296898,27.6599998474121,11.61948485895129,0.7,0.04,Long,Very Low
Blue Mountains,Blue Mountain Mixed Conifer,"Douglas fir, grand fir, intermountain maple, Oregon white oak, ponderosa pine, Port Orford cedar, western oak",High,6951.93994140625,68.1699981689453,49.20801794936359,0.65,0.04,Medium,High
Blue Mountains,Blue Mountain Mixed Conifer,"Douglas fir, grand fir, intermountain maple, Oregon white oak, ponderosa pine, Port Orford cedar, western oak",Low,4417.3701171875,60.689998626709,38.22111189033743,0.65,0.04,Medium,High
Blue Ridge Mountains,Blue Ridge Cove Forest,"Black walnut, eastern hemlock, eastern white pine, red maple, oak, yellow poplar, white oak, northern red oak",High,13408.5498046875,131.559997558594,124.05214474457091,0.7,0.04,Long,Low
Blue Ridge Mountains,Blue Ridge Cove Forest,"Black walnut, eastern hemlock, eastern white pine, red maple, oak, yellow poplar, white oak, northern red oak",Low,8765.0302734375,117.589996337891,101.84528442322085,0.7,0.04,Long,Low
Blue Ridge Mountains,Blue Ridge Mixed Hardwoods,"Black locust, elm, ash, cottonwood, red maple, river birch, sycamore, sassafras, persimmon, sweetbay, swamp tupelo, red maple, sweetgum, yellow poplar, willow",High,7840.33984375,113.970001220703,97.75016665288344,0.7,0.04,Long,Very Low
Blue Ridge Mountains,Blue Ridge Mixed Hardwoods,"Black locust, elm, ash, cottonwood, red maple, river birch, sycamore, sassafras, persimmon, sweetbay, swamp tupelo, red maple, sweetgum, yellow poplar, willow",Low,4894.35009765625,96.3000030517578,78.0070295264417,0.7,0.04,Long,Very Low
Blue Ridge Mountains,Blue Ridge Northern Hardwoods,"Balsam fir, black cherry, hard maple, basswood, maple, beech,  birch, red maple, red spruce, balsam fir, spruce, fir, sugar maple, beech, yellow birch, sugarberry, hackberry, elm, green ash, sycamore, pecan, American elm",All,4515.81005859375,116.569999694824,85.99750492838974,0.65,0.04,Long,Medium
Blue Ridge Mountains,Blue Ridge Oak-Hickory,"Chestnut oak, black oak, scarlet oak, northern red oak, oak, hickory, post oak, blackjack oak, white oak, red oak",High,8780.0400390625,119.26000213623,118.42552199355829,0.6,0.04,Long,Medium
Blue Ridge Mountains,Blue Ridge Oak-Hickory,"Chestnut oak, black oak, scarlet oak, northern red oak, oak, hickory, post oak, blackjack oak, white oak, red oak",Low,6245.31982421875,118.470001220703,108.80365836644172,0.6,0.04,Long,Medium
Blue Ridge Mountains,Blue Ridge Oak-Pine,"Eastern red cedar, eastern white pine, northern red oak, white ash, loblolly pine, oak, pine, pitch pine, shortleaf pine, oak, southern scrub oak, Table Mountain oak, Virginia pine, southern red oak, white/red/jack pine",High,10969.3203125,135.770004272461,106.20675116194802,0.65,0.04,Medium,Low
Blue Ridge Mountains,Blue Ridge Oak-Pine,"Eastern red cedar, eastern white pine, northern red oak, white ash, loblolly pine, oak, pine, pitch pine, shortleaf pine, oak, southern scrub oak, Table Mountain oak, Virginia pine, southern red oak, white/red/jack pine",Low,7331.669921875,114.839996337891,85.99750492838974,0.65,0.04,Medium,Low
Booneville Basin,Bonneville Basin Pinyon / Juniper Mixed Woodland,"Aspen, cercocarpus (mountain brush), deciduous oak, Douglas fir, Engelmann spruce, subalpine fir, intermountain maple, juniper, pinyon, ponderosa pine, white fir",All,419.76998901367199,72.6999969482422,18.97738146097398,0.65,0.04,Long,Low
California Central Valley Basin,California Valley Oak Woodland,"Blue oak, California black oak, California laurel, coast live oak, gray pine, pinyon, juniper, knobcone pine, pacific madrone, canyon live oak/interior live oak, western oak, blue oak, cottonwood, willow",All,1643.17004394531,54.7000007629395,44.347144513558284,0.65,0.04,Long,Very Low
Catskill Mountains,Catskill Mountains Northeast Conifer-Oak-Hickory,"Aspen, chestnut oak, black oak, scarlet oak, eastern hemlock, eastern red cedar, eastern white pine, eastern hemlock, northern red oak, white ash, gray birch, introduced larch, Norway spruce, paper birch, red maple, oak, red pine, scotch pine, white oak, red oak, hickory, white spruce",All,6231.669921875,130.779998779297,100.58012206067518,0.7,0.04,Long,Medium
Catskill Mountains,Catskill Mountains Northern Hardwood,"Black ash, American elm, red maple, black cherry, cherry, white ash, yellow poplar, elm, ash, black locust, hard maple, basswood, maple, beech, birch, red maple, sugar maple, beech, yellow birch, willow",High,6093.27978515625,125.220001220703,109.33635630322085,0.65,0.04,Long,Medium
Catskill Mountains,Catskill Mountains Northern Hardwood,"Black ash, American elm, red maple, black cherry, cherry, white ash, yellow poplar, elm, ash, black locust, hard maple, basswood, maple, beech, birch, red maple, sugar maple, beech, yellow birch, willow",Low,4728.91015625,107.730003356934,87.89524212194802,0.65,0.04,Long,Medium
Central California Coast,Central California Coast Redwood/Douglas-fir Mixed Conifer,"California laurel, Douglas fir, knobcone pine, pacific madrone, redwood, tanoak",All,43337.80078125,247.940002441406,280.3658471806752,0.6,0.04,Extremely Long,High
Central California Coast,Central California Coast Mixed Oak Woodland,"Bigleaf maple, blue oak, coast live oak, eucalyptus, gray pine, juniper, western oak",All,4873.0400390625,95.1600036621094,93.08905018067519,0.65,0.04,Long,Very Low
Central Great Plains,Central Great Plains Mixed Forest,"ack cherry, black locust, bur oak, eastern red cedar, jack pine, ponderosa pine, Rocky Mountain juniper, scotch pine, white oak, red oak, hickory",All,1258.35998535156,54.6100006103516,32.82754051775316,0.65,0.04,Long,Medium
Central Great Plains,Central Great Plains Riparian Hardwood,"Black ash, American elm, red maple, cottonwood, willow, elm, ash black locust, maple, beech, birch, silver maple, American elm, sugarberry, hackberry, elm, green ash, willow",All,4046.44995117188,100.870002746582,75.01060204449368,0.6,0.04,Long,Low
Central Interior Broadleaf Forest Central Till Plains,Central Interior Broadleaf Forest Central Till Plains Lowland Hardwoods,"Black ash, American elm, red maple, cottonwood, willow, elm, ash, oak, gum, cypress, red maple, river birch, sycamore, swamp chestnut oak, cherrybark oak, sweetbay, swamp tupelo, red maple, sweetgum, nuttail oak, willow oak, willow",All,7031.5,108.779998779297,85.5979783006752,0.65,0.04,Long,Very Low
Central Interior Broadleaf Forest Central Till Plains,Central Interior Broadleaf Forest Central Till Plains Mixed Upland Hardwoods,"Cherry , white ash, yellow poplar, elm, ash, black locust, sassafras, persimmon, sweetgum",High,5358.5,93.5999984741211,75.34353349228546,0.6,0.04,Long,Medium
Central Interior Broadleaf Forest Central Till Plains,Central Interior Broadleaf Forest Central Till Plains Mixed Upland Hardwoods,"Cherry , white ash, yellow poplar, elm, ash, black locust, sassafras, persimmon, sweetgum",Low,2911.8701171875,73.9800033569336,51.871510808389736,0.6,0.04,Long,Medium
Central Interior Broadleaf Forest Central Till Plains,Central Interior Broadleaf Forest Central Till Plains Northern Hardwoods,"Black cherry, hard maple, basswood, maple, beech, birch, silver maple, American elm, sugar maple,  yellow birch, sugarberry, hackberry, elm, green ash, sycamore, pecan, American elm",All,6607.9599609375,96.3600006103516,78.07361835610429,0.65,0.04,Long,Medium
Central Interior Broadleaf Forest Central Till Plains,Central Interior Broadleaf Forest Central Till Plains Oak-Hickory,"Black locust, black walnut, chestnut oak, black oak, scarlet oak, northern red oak, oak, hickory, post oak, blackjack oak, red maple, oak, scouthern scrub oak, white oak, red oak, hickory, yellow poplar",High,7918.1298828125,109.580001831055,105.34111542711656,0.65,0.04,Long,Medium
Central Interior Broadleaf Forest Central Till Plains,Central Interior Broadleaf Forest Central Till Plains Oak-Hickory,"Black locust, black walnut, chestnut oak, black oak, scarlet oak, northern red oak, oak, hickory, post oak, blackjack oak, red maple, oak, scouthern scrub oak, white oak, red oak, hickory, yellow poplar",Low,6278.06982421875,94.0400009155273,84.06647332,0.65,0.04,Long,Medium
Central Interior Broadleaf Forest Central Till Plains,Central Interior Broadleaf Forest Central Till Plains Oak-Pine,"Eastern red cedar, eastern white pine, northern red oak, white ash, oak, pine, red pine, shortleaf pine, Virginia pine",All,3306.18994140625,74.5,44.01420989063641,0.7,0.04,Medium,Low
Central Interior Broadleaf Forest Eastern Low Plateau,Central Interior Broadleaf Forest Eastern Low Plateau Cove Forest,"Red maple, oak, yellow poplar, white oak, northern red oak",High,8322.4697265625,110.849998474121,100.71329972,0.7,0.04,Long,Low
Central Interior Broadleaf Forest Eastern Low Plateau,Central Interior Broadleaf Forest Eastern Low Plateau Cove Forest,"Red maple, oak, yellow poplar, white oak, northern red oak",Low,7471.5,92.879997253418,84.79893139550632,0.7,0.04,Long,Low
Central Interior Broadleaf Forest Eastern Low Plateau,Central Interior Broadleaf Forest Eastern Low Plateau Lowland Hardwoods,"Black ash, American elm, red maple, cottonwood, willow, elm, ash, oak, gum, cypress, overcup oak, water hickory, red maple, river birch, sycamore, swamp chestnut oak, cherrybark oak, sweetbay, swamp tupelo, red maple, sweetgum, nuttail oak, willow oak, willow",All,6011.64990234375,94.6500015258789,81.8025039135583,0.6,0.04,Long,Low
Central Interior Broadleaf Forest Eastern Low Plateau,Central Interior Broadleaf Forest Eastern Low Plateau Mixed Upland Hardwoods,"Black locust, cherry, white ash, cherry, yellow poplar, elm, ash, black locust, sassafras, persimmon, sweetgum, yellow poplar",High,5331.759765625,95.8600006103516,78.07361835610429,0.7,0.04,Long,Low
Central Interior Broadleaf Forest Eastern Low Plateau,Central Interior Broadleaf Forest Eastern Low Plateau Mixed Upland Hardwoods,"Black locust, cherry, white ash, cherry, yellow poplar, elm, ash, black locust, sassafras, persimmon, sweetgum, yellow poplar",Low,2940.69995117188,78.9899978637695,60.59445063610428,0.7,0.04,Long,Low
Central Interior Broadleaf Forest Eastern Low Plateau,Central Interior Broadleaf Forest Eastern Low Plateau Northern Hardwoods,"Aspen, black cherry, hard maple, basswood, maple, beech, birch, silver maple, American elm, sugar maple, yellow birch, sugarberry, hackberry, elm, green ash, sycamore, pecan, American elm",High,5420.56982421875,102.949996948242,87.42913301483111,0.65,0.04,Long,Medium
Central Interior Broadleaf Forest Eastern Low Plateau,Central Interior Broadleaf Forest Eastern Low Plateau Northern Hardwoods,"Aspen, black cherry, hard maple, basswood, maple, beech, birch, silver maple, American elm, sugar maple, yellow birch, sugarberry, hackberry, elm, green ash, sycamore, pecan, American elm",Low,4431.64990234375,92.0500030517578,76.50881261033743,0.65,0.04,Long,Medium
Central Interior Broadleaf Forest Eastern Low Plateau,Central Interior Broadleaf Forest Eastern Low Plateau Oak-Hickory,"Black walnut, chestnut oak, black oak, scarlet oak, northern red oak, oak, hickory, post oak, blackjack oak, southern scrub oak, white oak, red oak",Low,5983.39013671875,100.349998474121,100.58012206067518,0.7,0.04,Long,Medium
Central Interior Broadleaf Forest Eastern Low Plateau,Central Interior Broadleaf Forest Eastern Low Plateau Oak-Hickory,"Black walnut, chestnut oak, black oak, scarlet oak, northern red oak, oak, hickory, post oak, blackjack oak, southern scrub oak, white oak, red oak",High,8188.7998046875,108.879997253418,113.76440552135004,0.7,0.04,Long,Medium
Central Interior Broadleaf Forest Eastern Low Plateau,Central Interior Broadleaf Forest Eastern Low Plateau Oak-Pine,"Eastern red cedar, eastern white pine, northern red oak, white ash, loblolly pine, oak, pine, shortleaf pine, Virginia pine, southern red oak",All,2437.419921875,82.0699996948242,54.60158932194802,0.7,0.04,Medium,Medium
Central Interior Broadleaf Forest Eastern Low Plateau,Central Interior Broadleaf Forest Eastern Low Plateau Pine,"Eastern red cedar, eastern white pine, jack pine, red pine, Virginia pine",All,1568.7900390625,79.379997253418,42.41611290516888,0.75,0.04,Long,Low
Central Interior Broadleaf Forest Ozark Highlands,Central Interior Broadleaf Forest Ozark Highlands Lowland Hardwoods,"Black ash, American elm, red maple, cottonwood, willow, elm, ash, oak, gum, cypress, red maple, river birch, sycamore, swamp chestnut oak, cherrybark oak, sweetbay, swamp tupelo, red maple, willow",All,4246.990234375,79.2900009155273,57.73119446322086,0.65,0.04,Long,Very Low
Central Interior Broadleaf Forest Ozark Highlands,Central Interior Broadleaf Forest Ozark Highlands Mixed Upland Hardwoods,"Black cherry, black locust, black walnut, cherry, white ash, yellow poplar, elm, ash, black locust, hard maple, basswood, maple, beech, birch, red maple, oak, sassafras, persimmon, silver maple, American elm, sugar maple, beech, yellow birch, sugarberry, hackberry, green ash, sweetgum, sycamore, pecan",High,2843.8798828125,73.1999969482422,53.90242566127283,0.65,0.04,Long,Medium
